collect_time,duid,name,sex,age,height,weight,accelerationx,accelerationy,accelerationz,temperature,humidity,lightsensor,pad_value
2020-11-11 17:13:06,8800000000000,tester,m,40,165,72,-0.459,-0.884,-0.047,25.175,18.108,61.44,"[0, 0, 3, 1, 1, 0, 0, 3, 2, 1, 836, 1, 0, 1, 1, 3, 2, 2, 2, 0, 4, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 2, 3, 2, 1, 3, 0, 2, 0, 0, 0, 0, 0, 0, 0, 5, 2, 5, 2, 0, 1, 0, 2, 4, 2, 1, 0, 0, 0, 6, 0, 3, 2, 3, 1, 2, 2, 2, 3, 0, 1, 0, 1, 3, 2, 3, 2, 0, 2, 1, 2, 0, 2, 1, 1, 2, 0, 0, 4, 1, 1, 1, 1, 1, 2, 2, 0, 2, 0, 0, 1, 0, 0, 2, 1, 0, 0, 0, 1, 2, 2, 4, 0, 0, 2, 2, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2, 3, 2, 1, 0, 1, 0, 2, 0, 1, 0, 4, 2, 3, 2, 2, 2, 2, 4, 4, 2, 0, 4, 1]"
2020-11-11 17:13:06,8800000000000,tester,m,40,165,72,-0.457,-0.883,-0.047,25.124,18.1,81.92,"[2, 3, 2, 2, 2, 0, 0, 0, 1, 0, 829, 1, 0, 1, 1, 2, 1, 1, 0, 0, 76, 1, 1, 1, 3, 0, 1, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0, 0, 0, 0, 2, 0, 2, 1, 0, 0, 0, 0, 0, 1, 3, 1, 0, 2, 0, 0, 1, 0, 2, 0, 2, 1, 0, 1, 0, 10, 4, 0, 2, 1, 0, 0, 0, 1, 10, 0, 1, 0, 1, 4, 4, 3, 4, 0, 2, 1, 2, 0, 1, 2, 0, 0, 1, 0, 1, 3, 0, 0, 2, 0, 3, 1, 3, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 2, 1, 1, 6, 2, 1, 0, 0, 0, 1, 3, 2, 0, 0, 0, 0, 1, 0, 0, 2, 1, 0, 1, 1, 0, 1, 4, 4, 3, 1, 0, 1, 4, 3]"
2020-11-11 17:13:07,8800000000000,tester,m,40,165,72,-0.458,-0.88,-0.047,25.175,18.12,81.92,"[2, 3, 4, 0, 3, 1, 0, 4, 2, 1, 829, 0, 4, 1, 2, 2, 0, 0, 0, 0, 5, 0, 0, 2, 1, 2, 0, 0, 2, 0, 0, 1, 4, 3, 2, 0, 1, 2, 3, 1, 3, 0, 0, 1, 0, 3, 2, 1, 5, 0, 0, 2, 0, 1, 7, 1, 2, 3, 0, 2, 0, 1, 3, 2, 5, 4, 0, 1, 2, 0, 0, 0, 0, 0, 0, 1, 2, 1, 1, 0, 1, 2, 2, 1, 1, 2, 2, 3, 2, 0, 2, 4, 4, 2, 3, 4, 0, 1, 2, 2, 4, 1, 2, 1, 2, 2, 2, 0, 1, 4, 0, 1, 2, 0, 1, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 2, 0, 0, 3, 1, 0, 2, 0, 0, 0, 1, 1, 4, 1, 2, 4, 1, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
2020-11-11 17:13:07,8800000000000,tester,m,40,165,72,-0.459,-0.883,-0.047,25.183,18.079,81.92,"[0, 0, 0, 1, 0, 2, 2, 0, 4, 3, 829, 2, 2, 1, 2, 0, 0, 2, 3, 3, 5, 0, 4, 2, 2, 2, 5, 2, 1, 0, 0, 2, 0, 0, 4, 1, 2, 0, 1, 3, 1, 1, 3, 2, 2, 5, 2, 2, 2, 0, 0, 0, 2, 2, 2, 0, 0, 0, 2, 2, 0, 0, 2, 2, 0, 3, 0, 1, 2, 2, 0, 0, 0, 0, 4, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 2, 0, 0, 2, 3, 3, 1, 4, 2, 3, 2, 2, 0, 1, 0, 1, 2, 3, 2, 3, 0, 4, 0, 3, 0, 2, 1, 0, 0, 0, 2, 2, 0, 1, 1, 0, 1, 1, 4, 1, 2, 2, 1, 0, 0, 0, 0, 2, 1, 0, 0, 4, 0, 0, 0, 0, 2, 0, 0, 1, 0, 1, 0, 0, 2, 3, 0, 2, 3, 3, 0, 0]"
2020-11-11 17:13:08,8800000000000,tester,m,40,165,72,-0.459,-0.881,-0.047,25.189,18.074,61.44,"[0, 0, 2, 2, 3, 1, 0, 2, 0, 0, 818, 0, 0, 1, 2, 0, 5, 2, 9, 1, 10, 0, 0, 0, 2, 4, 0, 4, 2, 3, 0, 1, 4, 2, 10, 3, 3, 0, 0, 5, 4, 0, 2, 2, 5, 0, 0, 0, 1, 3, 0, 2, 4, 1, 1, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 7, 4, 3, 4, 0, 0, 0, 2, 1, 0, 2, 2, 0, 1, 5, 0, 0, 3, 1, 0, 0, 2, 0, 1, 1, 0, 0, 0, 1, 1, 0, 2, 1, 2, 2, 1, 0, 3, 4, 2, 3, 1, 0, 2, 1, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 3, 1, 0, 0, 1, 26, 5, 3, 0, 3, 3, 3, 2, 0, 4, 2, 0, 1, 0, 0, 1, 0, 1, 6, 0, 2, 1, 2, 0, 0, 0, 0, 0, 3, 38, 2, 0, 2]"
2020-11-11 17:13:08,8800000000000,tester,m,40,165,72,-0.459,-0.881,-0.047,25.175,18.074,81.92,"[0, 0, 3, 1, 1, 0, 2, 3, 0, 3, 825, 0, 4, 1, 0, 0, 0, 1, 0, 2, 2, 2, 1, 1, 1, 2, 0, 2, 1, 2, 0, 0, 5, 0, 4, 3, 1, 2, 3, 1, 1, 1, 0, 2, 0, 0, 1, 3, 1, 7, 0, 0, 4, 0, 0, 0, 3, 2, 3, 2, 0, 1, 0, 1, 3, 0, 0, 0, 0, 0, 0, 2, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 2, 1, 0, 0, 2, 1, 0, 1, 0, 2, 0, 0, 0, 3, 2, 0, 0, 0, 1, 0, 2, 0, 3, 4, 0, 1, 1, 3, 1, 0, 3, 3, 0, 2, 2, 0, 3, 0, 0, 3, 1, 4, 0, 2, 2, 0, 1, 0, 1, 0, 2, 0, 0, 4, 2, 4, 1, 3, 2, 4, 2, 0, 0, 0, 1, 0, 0, 0, 0, 3, 0]"
2020-11-11 17:13:09,8800000000000,tester,m,40,165,72,-0.459,-0.883,-0.047,25.199,18.062,61.44,"[0, 1, 4, 0, 2, 0, 0, 2, 0, 1, 816, 0, 1, 1, 0, 1, 2, 2, 0, 1, 19, 1, 0, 2, 2, 0, 0, 0, 1, 1, 0, 0, 0, 5, 2, 4, 1, 1, 3, 2, 5, 1, 0, 1, 0, 0, 4, 1, 0, 1, 0, 0, 3, 1, 0, 3, 4, 0, 2, 2, 0, 1, 5, 8, 2, 2, 1, 0, 3, 3, 3, 1, 2, 1, 0, 1, 2, 0, 1, 0, 0, 0, 0, 1, 1, 1, 2, 0, 0, 1, 0, 0, 3, 1, 0, 3, 5, 2, 0, 1, 1, 1, 0, 2, 0, 4, 2, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 3, 0, 0, 0, 0, 0, 3, 6, 1, 0, 1, 2, 1, 1, 2, 0, 3, 0, 1, 0, 0, 3, 2, 0, 0, 0, 2, 1, 0, 0, 0, 2, 2, 2, 4, 0, 1, 1, 0]"
2020-11-11 17:13:09,8800000000000,tester,m,40,165,72,-0.459,-0.883,-0.047,25.194,18.04,81.92,"[1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 831, 0, 4, 1, 0, 0, 0, 0, 2, 0, 4, 0, 0, 2, 1, 0, 2, 1, 3, 1, 0, 0, 0, 1, 3, 0, 0, 1, 2, 1, 0, 0, 1, 2, 1, 5, 0, 15, 2, 0, 2, 2, 6, 0, 0, 3, 0, 3, 0, 2, 0, 0, 3, 2, 0, 4, 2, 0, 1, 2, 2, 1, 0, 2, 3, 1, 2, 2, 0, 3, 0, 1, 0, 1, 0, 1, 3, 0, 4, 0, 0, 0, 0, 2, 0, 0, 4, 1, 0, 2, 3, 1, 4, 2, 1, 0, 2, 2, 1, 1, 0, 0, 4, 0, 3, 10, 1, 2, 0, 4, 0, 0, 3, 2, 4, 2, 3, 0, 2, 3, 2, 1, 5, 3, 0, 5, 2, 0, 0, 1, 0, 1, 0, 0, 3, 6, 3, 1, 2, 3, 0, 0, 1, 0, 2, 1, 0, 0, 3, 2]"
2020-11-11 17:13:10,8800000000000,tester,m,40,165,72,-0.458,-0.882,-0.047,25.164,18.086,81.92,"[1, 1, 1, 1, 0, 2, 0, 1, 2, 3, 837, 1, 0, 0, 0, 3, 3, 0, 1, 0, 202, 0, 0, 0, 1, 3, 0, 0, 3, 2, 0, 0, 0, 2, 0, 1, 0, 2, 0, 2, 0, 2, 0, 1, 1, 3, 0, 0, 0, 0, 0, 0, 2, 1, 2, 2, 0, 4, 4, 2, 0, 2, 0, 2, 0, 2, 2, 1, 0, 1, 0, 2, 0, 2, 1, 2, 0, 3, 2, 0, 0, 2, 3, 2, 1, 2, 0, 1, 2, 2, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 4, 0, 2, 2, 0, 0, 1, 2, 3, 0, 0, 1, 2, 0, 0, 0, 2, 1, 0, 0, 2, 1, 0, 1, 0, 0, 2, 2, 1, 2, 0, 2, 4, 2, 0, 0, 0, 2, 4, 0, 0, 5, 0, 1, 0, 0, 0, 2, 2, 0, 2, 0, 2, 1]"
2020-11-11 17:13:10,8800000000000,tester,m,40,165,72,-0.458,-0.882,-0.047,25.13,18.079,81.92,"[7, 0, 2, 2, 4, 0, 0, 2, 1, 2, 849, 1, 0, 9, 2, 3, 2, 0, 1, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 2, 0, 0, 2, 2, 4, 3, 2, 1, 1, 1, 3, 1, 0, 2, 0, 1, 0, 0, 2, 1, 0, 0, 1, 1, 1, 0, 0, 0, 3, 2, 5, 5, 1, 1, 0, 1, 0, 0, 4, 0, 2, 0, 1, 2, 2, 1, 0, 0, 6, 0, 0, 1, 0, 1, 2, 2, 3, 1, 2, 2, 3, 2, 3, 3, 1, 2, 0, 0, 1, 0, 0, 4, 1, 2, 1, 0, 0, 0, 1, 0, 5, 0, 0, 1, 2, 2, 0, 0, 2, 2, 0, 0, 0, 0, 0, 1, 0, 0, 3, 1, 0, 3, 0, 2, 2, 0, 0, 0, 0, 1, 5, 3, 0, 3, 1, 3, 2, 2, 1, 2, 1, 4, 1, 0, 0, 1]"
