collect_time,duid,name,sex,age,height,weight,accelerationx,accelerationy,accelerationz,temperature,humidity,lightsensor,pad_value
2020-11-23 14:57:48,8800000000000,홍길동,male,19,185,78,-0.042,-0.076,0.972,42.166,10.478,614.4,"[2, 2, 5, 4, 0, 9, 1, 9, 0, 6, 0, 0, 8, 0, 0, 4, 16, 0, 0, 0, 0, 0, 1, 0, 0, 0, 10, 7, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 1, 0, 4, 4, 0, 1, 1, 2, 3, 0, 0, 9, 0, 20, 5, 1, 4, 4, 0, 9, 0, 5, 12, 7, 1, 4, 4, 0, 3, 3, 4, 9, 0, 14, 0, 2, 1, 5, 2, 0, 0, 0, 0, 8, 2, 0, 0, 0, 0, 6, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 6, 3, 0, 0, 0, 0, 2, 0, 5, 0, 0, 6, 0, 2, 0, 0, 0, 10, 0, 0, 2, 0, 0, 0, 1, 4, 2, 3, 7, 4, 0, 0, 7, 5, 4, 2, 4, 9, 5, 0, 11, 11, 0]"
2020-11-23 14:57:50,8800000000000,홍길동,male,19,185,78,-0.041,-0.075,0.972,42.214,10.486,614.4,"[2, 2, 0, 3, 0, 20, 5, 10, 0, 5, 1, 3, 3, 0, 0, 6, 0, 0, 1, 0, 4, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 2, 4, 0, 0, 5, 0, 0, 7, 4, 0, 0, 0, 0, 0, 0, 3, 5, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 2, 0, 0, 11, 0, 4, 2, 0, 2, 4, 2, 2, 0, 0, 0, 0, 2, 2, 2, 2, 6, 4, 0, 3, 0, 6, 0, 6, 2, 5, 3, 7, 0, 0, 9, 0, 0, 0, 1, 2, 3, 0, 0, 3, 0, 0, 7, 0, 1, 3, 3, 3, 6, 5, 2, 0, 0, 0, 0, 0, 3, 2, 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 4, 0, 0, 0, 0, 0, 0, 2, 1, 7, 0, 0, 3, 0, 0, 0, 0, 3, 3, 0, 5, 7, 8, 0, 12]"
2020-11-23 14:57:52,8800000000000,홍길동,male,19,185,78,-0.042,-0.074,0.972,42.212,10.484,593.92,"[0, 1, 1, 1, 3, 1, 4, 3, 0, 6, 1, 3, 5, 0, 0, 11, 0, 3, 1, 2, 6, 0, 8, 2, 6, 4, 8, 2, 0, 5, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 3, 4, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 3, 1, 0, 1, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 8, 6, 0, 6, 0, 0, 4, 2, 5, 0, 0, 1, 2, 0, 3, 2, 5, 2, 3, 0, 5, 7, 8, 1, 3, 5, 16, 0, 2, 7, 2, 0, 2, 5, 1, 3, 3, 0, 0, 6, 4, 0, 2, 0, 0, 2, 1, 0, 0, 0, 2, 0, 0, 3, 0, 0, 8, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 8, 17, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0]"
2020-11-23 14:57:54,8800000000000,홍길동,male,19,185,78,-0.042,-0.075,0.972,42.23,10.439,614.4,"[0, 0, 0, 0, 6, 9, 12, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 8, 0, 4, 2, 2, 2, 2, 1, 0, 1, 2, 0, 0, 3, 3, 3, 2, 5, 0, 7, 7, 4, 3, 2, 3, 3, 6, 0, 3, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 1, 0, 0, 3, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 4, 1, 0, 0, 2, 0, 1, 17, 0, 0, 5, 0, 3, 3, 2, 3, 0, 0, 0, 0, 0, 1, 3, 3, 4, 11, 4, 0, 7, 12, 0, 1, 4, 0, 9, 0, 1, 0, 9, 0, 7, 3, 0, 0, 0, 0, 1, 6, 0, 0, 2, 0, 0, 0, 0, 1, 3, 8, 4, 0, 0, 0, 0, 0, 0, 0, 5, 3, 0, 0, 5]"
2020-11-23 14:57:56,8800000000000,홍길동,male,19,185,78,-0.042,-0.075,0.972,42.305,10.443,593.92,"[0, 0, 0, 0, 0, 0, 0, 6, 0, 3, 0, 0, 3, 0, 0, 0, 5, 0, 0, 2, 1, 0, 0, 0, 11, 1, 0, 0, 1, 0, 0, 2, 2, 6, 4, 0, 0, 12, 0, 9, 3, 3, 11, 0, 0, 12, 0, 0, 0, 5, 0, 2, 4, 0, 3, 0, 0, 0, 6, 0, 12, 0, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 4, 0, 0, 1, 0, 3, 3, 1, 0, 0, 0, 0, 0, 0, 10, 0, 1, 0, 0, 0, 0, 1, 9, 0, 1, 5, 0, 1, 0, 2, 1, 2, 3, 10, 16, 0, 6, 3, 0, 2, 5, 3, 6, 0, 0, 0, 0, 3, 4, 0, 0, 1, 6, 6, 11, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 2, 0, 0, 3, 0, 0, 0, 0]"
2020-11-23 14:57:58,8800000000000,홍길동,male,19,185,78,-0.042,-0.075,0.972,42.297,10.367,593.92,"[6, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 1, 0, 0, 0, 0, 0, 1, 7, 0, 5, 0, 1, 0, 2, 8, 2, 0, 6, 2, 1, 4, 0, 1, 8, 4, 3, 22, 0, 4, 4, 2, 4, 3, 0, 8, 0, 2, 9, 0, 0, 5, 2, 0, 0, 0, 4, 5, 0, 10, 1, 0, 2, 0, 5, 6, 0, 0, 4, 0, 0, 0, 0, 0, 1, 0, 1, 4, 3, 8, 0, 0, 0, 0, 0, 0, 0, 8, 0, 2, 0, 0, 0, 1, 0, 3, 11, 0, 0, 0, 0, 0, 1, 0, 0, 2, 7, 0, 0, 1, 0, 0, 2, 11, 2, 12, 8, 12, 15, 1, 3, 5, 3, 9, 6, 0, 8, 1, 1, 14, 4, 0, 3, 5, 0, 4, 9, 0, 4, 0, 0, 0, 0, 0, 5, 0, 0, 8, 0, 4, 7]"
2020-11-23 14:58:00,8800000000000,홍길동,male,19,185,78,-0.043,-0.074,0.972,42.361,10.35,614.4,"[0, 0, 2, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 12, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 2, 16, 0, 10, 0, 0, 2, 0, 0, 11, 0, 10, 9, 0, 4, 0, 2, 2, 0, 0, 1, 12, 5, 2, 3, 3, 6, 8, 3, 5, 14, 0, 0, 3, 7, 5, 4, 5, 0, 4, 2, 7, 4, 4, 0, 1, 13, 4, 0, 1, 0, 2, 0, 10, 0, 1, 1, 0, 0, 0, 0, 0, 5, 2, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 4, 5, 0, 0, 16, 0, 0, 0, 0, 2, 2, 2, 4, 0, 6, 1, 0, 0, 0, 0, 1, 0, 3, 0, 0, 0, 0, 6, 3, 2, 0, 0, 0, 2, 2, 16, 3, 0, 3, 1, 1, 3, 4, 11, 0, 8, 0, 0, 0, 0, 2, 0, 0, 5, 0, 0, 3]"
2020-11-23 14:58:02,8800000000000,홍길동,male,19,185,78,-0.042,-0.075,0.972,42.326,10.359,593.92,"[2, 2, 8, 5, 4, 0, 1, 5, 7, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 4, 0, 0, 0, 0, 0, 0, 5, 8, 4, 3, 0, 0, 4, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 8, 6, 1, 2, 0, 4, 5, 2, 1, 0, 4, 7, 2, 1, 1, 0, 0, 5, 0, 0, 1, 3, 3, 0, 0, 0, 8, 6, 6, 0, 0, 0, 2, 4, 0, 0, 0, 7, 0, 1, 0, 1, 1, 0, 0, 0, 2, 0, 2, 4, 0, 0, 0, 1, 0, 1, 2, 0, 0, 0, 0, 0, 0, 7, 2, 2, 0, 0, 6, 0, 0, 0, 0, 2, 0, 0, 1, 5, 0, 19, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 6, 3, 3, 1, 0, 0, 0, 4, 1, 2, 10, 2, 0, 0, 10, 0, 7, 0]"
2020-11-23 14:58:04,8800000000000,홍길동,male,19,185,78,-0.042,-0.076,0.972,42.31,10.352,593.92,"[2, 4, 0, 4, 2, 0, 8, 0, 0, 0, 1, 0, 0, 12, 4, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 5, 0, 0, 0, 0, 0, 0, 0, 3, 4, 7, 0, 0, 2, 0, 2, 0, 5, 4, 0, 0, 1, 0, 2, 0, 2, 0, 7, 0, 2, 1, 9, 1, 5, 0, 7, 5, 0, 0, 0, 0, 5, 2, 0, 3, 0, 0, 11, 13, 0, 3, 3, 0, 0, 0, 1, 0, 1, 2, 1, 0, 0, 0, 0, 1, 1, 0, 7, 0, 0, 3, 0, 0, 0, 0, 2, 3, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 3, 13, 0, 0, 0, 0, 0, 0, 2, 0, 0, 5, 0, 19, 3, 2, 2, 9, 1, 6, 0, 1, 12, 10, 12]"
